time,modulation,datarate,total
10,64QAM,54.0,564
11,16QAM,24.0,953
11,16QAM,36.0,691
11,64QAM,54.0,10905
11,64QAM,48.0,1640
11,QPSK,18.0,5
12,16QAM,24.0,11
12,16QAM,36.0,20
12,64QAM,54.0,13083
12,64QAM,48.0,2488
13,16QAM,36.0,12
13,64QAM,54.0,16381
14,16QAM,36.0,17
14,64QAM,54.0,15412
15,16QAM,36.0,21
15,64QAM,54.0,16398
16,16QAM,36.0,17
16,64QAM,54.0,14826
17,16QAM,36.0,29
17,64QAM,54.0,15442
18,16QAM,36.0,9
18,64QAM,54.0,15238
19,16QAM,36.0,18
19,64QAM,54.0,16061
20,16QAM,36.0,22
20,64QAM,54.0,14974
21,16QAM,36.0,6
21,64QAM,54.0,1528
22,64QAM,54.0,1
23,64QAM,54.0,6
25,64QAM,54.0,3
26,64QAM,54.0,1
29,64QAM,54.0,25
